2016-12-27T03:03:34.751+0000 I CONTROL  [initandlisten] MongoDB starting : pid=21625 port=27017 dbpath=/home/ubuntu/excited-server/mongodb 64-bit host=ip-172-31-27-109
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] db version v3.4.1-rc0
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] git version: 5e103c4f5583e2566a45d740225dc250baacfbd7
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 1.0.2g  1 Mar 2016
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] modules: none
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] build environment:
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten]     distmod: ubuntu1604
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten]     distarch: x86_64
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2016-12-27T03:03:34.753+0000 I CONTROL  [initandlisten] options: { processManagement: { fork: true }, storage: { dbPath: "mongodb" }, systemLog: { destination: "file", path: "mongodb.log" } }
2016-12-27T03:03:34.794+0000 I -        [initandlisten] Detected data files in /home/ubuntu/excited-server/mongodb created by the 'wiredTiger' storage engine, so setting the active storage engine to 'wiredTiger'.
2016-12-27T03:03:34.794+0000 I STORAGE  [initandlisten] 
2016-12-27T03:03:34.794+0000 I STORAGE  [initandlisten] ** WARNING: Using the XFS filesystem is strongly recommended with the WiredTiger storage engine
2016-12-27T03:03:34.794+0000 I STORAGE  [initandlisten] **          See http://dochub.mongodb.org/core/prodnotes-filesystem
2016-12-27T03:03:34.794+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=256M,session_max=20000,eviction=(threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] 
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] 
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] 
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/enabled is 'always'.
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] 
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] ** WARNING: /sys/kernel/mm/transparent_hugepage/defrag is 'always'.
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] **        We suggest setting it to 'never'
2016-12-27T03:03:35.081+0000 I CONTROL  [initandlisten] 
2016-12-27T03:03:35.100+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/home/ubuntu/excited-server/mongodb/diagnostic.data'
2016-12-27T03:03:35.102+0000 I NETWORK  [thread1] waiting for connections on port 27017
2016-12-27T03:03:44.667+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:60950 #1 (1 connection now open)
2016-12-27T03:03:44.671+0000 I NETWORK  [conn1] received client metadata from 127.0.0.1:60950 conn1: { application: { name: "MongoDB Shell" }, driver: { name: "MongoDB Internal Client", version: "3.4.1-rc0" }, os: { type: "Linux", name: "Ubuntu", architecture: "x86_64", version: "16.04" } }
2016-12-27T03:03:48.076+0000 I -        [conn1] end connection 127.0.0.1:60950 (1 connection now open)
2016-12-27T03:04:02.636+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:60952 #2 (1 connection now open)
2016-12-27T03:04:02.645+0000 I NETWORK  [conn2] received client metadata from 127.0.0.1:60952 conn2: { driver: { name: "nodejs", version: "2.2.16" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.4.0-57-generic" }, platform: "Node.js v7.3.0, LE, mongodb-core: 2.1.2" }
2016-12-27T03:04:23.406+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:32860 #3 (2 connections now open)
2016-12-27T03:04:23.409+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:32862 #4 (3 connections now open)
2016-12-27T03:04:23.409+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:32864 #5 (4 connections now open)
2016-12-27T03:04:23.410+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:32866 #6 (5 connections now open)
2016-12-27T06:02:01.009+0000 I -        [conn5] end connection 127.0.0.1:32864 (5 connections now open)
2016-12-27T06:02:01.009+0000 I -        [conn2] end connection 127.0.0.1:60952 (5 connections now open)
2016-12-27T06:02:01.009+0000 I -        [conn3] end connection 127.0.0.1:32860 (5 connections now open)
2016-12-27T06:02:01.009+0000 I -        [conn4] end connection 127.0.0.1:32862 (5 connections now open)
2016-12-27T06:02:01.009+0000 I -        [conn6] end connection 127.0.0.1:32866 (5 connections now open)
2016-12-27T06:39:39.712+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:33532 #7 (1 connection now open)
2016-12-27T06:39:39.723+0000 I NETWORK  [conn7] received client metadata from 127.0.0.1:33532 conn7: { driver: { name: "nodejs", version: "2.2.16" }, os: { type: "Linux", name: "linux", architecture: "x64", version: "4.4.0-57-generic" }, platform: "Node.js v7.3.0, LE, mongodb-core: 2.1.2" }
2016-12-27T06:40:04.110+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:33672 #8 (2 connections now open)
2016-12-27T06:40:04.116+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:33674 #9 (3 connections now open)
2016-12-27T06:40:04.116+0000 I NETWORK  [thread1] connection accepted from 127.0.0.1:33676 #10 (4 connections now open)
